Product Code,Cat 1,Cat 2,Sub Cat,Length cm (approx),Height cm (approx),Width cm (Approx),Depth cm (Approx),Size (all sizes are approximate),Fabric,Colour,Web product Name,Product Description,User Tags,image name 1 (same as sku),image name 2 (same as sku),Availability,Cost Price (ex VAT,Mark up %, Selling Price (ex VAT) ,Delivery & Returns,Excel Sell Code,Excel Type 3 Sell Price,
BEDSOF0001,Living Room,Bedroom,Sofa Beds,,85,166,90,H85 W166 D90,Vinyl,Black,Hoxton Sofa Bed,The Hoxton Sofa bed has a three fold action with a 10cm thick mattress. Four additional slats provide support to the polyprop deck at the shoulder and hip area. Slats are mounted by means of 4 springs per slat resulting in a softer suspension. Faux Leather black fabric in 80% PVC 20% Cotton. Features a removable foam filled seat cushion and rebound fibre filled back cushions. Fire resistant foam (CMHR). We recommend to clean this sofa bed with a sponge dampened with water. Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with BS7177:2008+A1:2011. Low hazard fire category BS EN 1129-1:1995 Foldaway beds. Mechanism conforms to BS EN 13759:2012. Made in the UK. Comes with one year warranty.,"sofa bed,black,Hoxton,C1,CU",Alan,,Stock, £307.80 ,75, £538.65 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0152BLSDID,£389.40,
BEDSOF0003,Living Room,Bedroom,Sofa Beds,,85,166,90,H85 W166 D90,Vinyl,Brown,Hoxton Sofa Bed,The Hoxton Sofa bed has a three fold action with a 10cm thick mattress. Four additional slats provide support to the polyprop deck at the shoulder and hip area. Slats are mounted by means of 4 springs per slat resulting in a softer suspension. Faux Leather brown fabric in 80% PVC 20% Cotton. Features a removable foam filled seat cushion and rebound fibre filled back cushions. Fire resistant foam (CMHR). We recommend to clean this sofa bed with a sponge dampened with water. Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with BS7177:2008+A1:2011. Low hazard fire category BS EN 1129-1:1995 Foldaway beds. Mechanism conforms to BS EN 13759:2012. Made in the UK. Comes with one year warranty.,"sofa bed,brown,Hoxton,C1,CU",Alan,,Stock, £307.80 ,75, £538.65 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0152BRSDID,£389.40,
SOFA2M0001,Living Room,,Sofas,,85,142,90,H85 W142 D90,Fabric,Beige,Hoxton Sofa,"Two seater upholstered sofa featuring a fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions. Fire resistant foam (CMHR).  100% Polyester with solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails. We recommend cleaning with a vacuum's soft brush attachment.  Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with EN 12520:2015 for strength, durability and safety of seating. Comes with a one year warranty. ","2 seater,two seater,sofa,beige,Hoxton,C1,CU",no stock - fabric swatch - Alan,,Special, £156.60 ,75, £274.05 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0137BGSDID,£201.80,
SOFA2M0002,Living Room,,Sofas,,85,142,90,H85 W142 D90,Vinyl,Black,Hoxton Sofa,"The Hoxton is a versatile two seater sofa that would suit most interiors and decor. A compact sofa with low wide feet. Faux Leather black fabric. Solid wood frame consisting of base rails, springs and other load bearing rails. Fire resistant foam (CMHR) and stain resistant vinyl covering in 80% PVC 20% Cotton with stitched seams. Rub test 80,000. We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush. Features removable foam filled seat cushions and removable rebound fibre filled back cushions. Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with EN 12520:2015 Strength, durability and safety of seating.  Made in the UK. Comes with one year warranty.","2 seater,two seater,sofa,black,Hoxton,C1,CU",Manhattan-Leather-2-Seater-Black,,Stock, £156.60 ,75, £274.05 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0136BLSDID,£201.80,
SOFA2M0003,Living Room,,Sofas,,85,142,90,H85 W142 D90,Fabric,Brown,Hoxton Sofa,"Two seater upholstered brown sofa. Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions. Fire resistant foam (CMHR).  100% Polyester. Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails. We recommend cleaning with a vacuum's soft brush attachment.  Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with EN 12520:2015 for strength, durability and safety of seating. Comes with one year warranty. ","2 seater,two seater,sofa,brown,Hoxton,C1,CU",Alan,,Special, £156.60 ,75, £274.05 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0137BRSDID,£201.80,
SOFAM0004,Living Room,,Sofas,,85,142,90,H85 W142 D90,Vinyl,Brown,Hoxton Sofa,"The Hoxton is a versatile two seater sofa that would suit most interiors and decor. A compact sofa with low wide feet. Faux Leather brown fabric. Solid wood frame consisting of base rails, springs and other load bearing rails. Fire resistant foam (CMHR) and stain resistant vinyl covering in 80% PVC 20% Cotton with stitched seams. Rub test 80,000. We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush. Features removable foam filled seat cushions and removable rebound fibre filled back cushions. Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with EN 12520:2015 Strength, durability and safety of seating.  Made in the UK. Comes with one year warranty.","2 seater,two seater,sofa,brown,Hoxton,C1,CU",Manhattan-Leather-2-Seater-Brown,,Stock, £156.60 ,75, £274.05 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0136BRSDID,£201.80,
SOFAM0005,Living Room,,Sofas,,85,142,90,H85 W142 D90,Vinyl,Cream,Hoxton Sofa,"The Hoxton is a versatile sofa that would suit most interiors and decor. A compact sofa with low wide feet. Faux Leather cream fabric. Solid wood frame consisting of base rails, springs and other load bearing rails. Fire resistant foam (CMHR) and stain resistant vinyl covering in 80% PVC 20% Cotton with stitched seams. Rub test 80,000. We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush. Features removable foam filled seat cushions and removable rebound fibre filled back cushions. Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with EN 12520:2015 Strength, durability and safety of seating.  Made in the UK. Comes with one year warranty.","2 seater,two seater,sofa,cream,Hoxton,C1,CU",Alan,,Special, £156.60 ,75, £274.05 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0136CRSDID,£201.80,
SOFA2M0006,Living Room,,Sofas,,85,142,90,H85 W142 D90,Fabric,Aubergine,Hoxton Sofa,"Two seater upholstered aubergine sofa. Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions. Fire resistant foam (CMHR).  100% Polyester. Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails. We recommend cleaning with a vacuum's soft brush attachment.  Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with EN 12520:2015 for strength, durability and safety of seating. Comes with one year warranty. ","2 seater,two seater,sofa,aubergine,Hoxton,C1,CU",Alan,,Special, £156.60 ,75, £274.05 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",SOFA2M0006,£201.80,
SOFA2M0008,Living Room,,Sofas,,85,142,90,H85 W142 D90,Fabric,Teal,Hoxton Sofa,"Two seater upholstered aubergine sofa. Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions. Fire resistant foam (CMHR).  100% Polyester. Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails. We recommend cleaning with a vacuum's soft brush attachment.  Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with EN 12520:2015 for strength, durability and safety of seating. Comes with one year warranty. ","2 seater,two seater,sofa,teal,Hoxton,C1,CU",no stock - fabric swatch - Alan,,Special, £156.60 ,75, £274.05 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",SOFA2M0008,£201.80,
SOFA2M0009,Living Room,,Sofas,,85,142,90,H85 W142 D90,Fabric,Grey,Hoxton Sofa,"Two seater upholstered grey sofa. Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions. Fire resistant foam (CMHR).  100% Polyester. Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails. We recommend cleaning with a vacuum's soft brush attachment.  Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with EN 12520:2015 for strength, durability and safety of seating. Comes with one year warranty. ","2 seater,two seater,sofa,grey,Hoxton,C1,CU",Alan,,Special, £156.60 ,75, £274.05 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0137GRSDID,£201.80,
SOFA2Y0001,Living Room,,Sofas,,93,142,90,H93 W175 D98,Vinyl,Black,Barcelona Sofa,"Faux leather two seater black sofa with solid wood FSC Certified frame. 80% PVC 20% Cotton with fire resistant foam (CMHR). Stain resistant vinyl covering with stitched seams. Foam filled fixed seat cushion and removable rebound fibre filled back cushion. We recommend to clean with a damp sponge and vacuum with a soft brush attachment. Complies to EN 12520:2015 for strength, durability and safety of seating. Comes with one year warranty. ","2 seater,two seater,sofa,black,Hoxton,C1,CU",cara_2seater1,cara_2seater2,Special, £108.00 ,75, £189.00 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0300BLSDID,£189.20,
SOFA2Y0002,Living Room,,Sofas,,93,142,90,H93 W175 D98,Vinyl,Brown,Barcelona Sofa,"Faux leather two seater brown sofa with solid wood FSC Certified frame. 80% PVC 20% Cotton with fire resistant foam (CMHR). Stain resistant vinyl covering with stitched seams. Foam filled fixed seat cushion and removable rebound fibre filled back cushion. We recommend to clean with a damp sponge and vacuum with a soft brush. Complies to EN 12520:2015 for strength, durability and safety of seating. Comes with one year warranty. ","2 seater,two seater,sofa,brown,Hoxton,C1,CU",cara_2seater1br,cara_2seater2br,Special, £108.00 ,75, £189.00 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0300BRSDID,£189.20,
