Product Code,Cat 1,Cat 2,Cat 3,Cat 4,Cat 5,Cat 6,Cat 7,Sub Cat,Item,Range/Brand,Length cm (approx),Height cm (approx),Width cm (Approx),Depth cm (Approx),Size (all sizes are approximate),Fabric,Colour,Web product Name,descriptive and user tags (separated by |),image name 1 (same as sku),image name 2 (same as sku),image name 3 (same as sku),Availability,Supplier,Range,Cost Price (ex VAT,Mark up %, Selling Price (ex VAT) ,Delivery Timescale (Working days),Assembled/Flat Pack,Excel Sell Code,Excel Type 3 Sell Price,Warranty,
MATPRO0005,Bedroom,,,,,,,Bedding,Mattress Protectors Quilted Super King Quilted,Arbry,,,,,Super King,Polycotton/Polyester,White,Quilted Mattress Protector - Super King,Polycotton top and sides with 2oz quilted wadding inside | Machine washable,quilted polycotton matt prot + pillow prot (2),,,Stock,Avantex,Essential, £6.85 ,75, £11.99 ,,Assembled,no sales code,£10.28,1 Year Warranty,
DUVETS0003,Bedroom,,,,,,,Bedding,Duvets 13.5 Tog,Unbranded,,,,,Single,Polycotton/Polyester,White,Duvets 13.5 Tog - Single,Suitable for all seasons | Polycotton covering with polyester hollowfibre filling |Machine washable,Alan,,,Stock,Cosy Home Furnishing,Essential, £5.48 ,75, £9.59 ,,Assembled,DFF0051SDID,£7.65,1 Year Warranty,
DUVETD0004,Bedroom,,,,,,,Bedding,Duvets 13.5 Tog,Unbranded,,,,,Double,Polycotton/Polyester,White,Duvets 13.5 Tog - Double,Suitable for all seasons | Polycotton covering with polyester hollowfibre filling |Machine washable,Alan,,,Stock,Cosy Home Furnishing,Essential, £7.45 ,75, £13.04 ,,Assembled,DFF0031SDID,£10.14,1 Year Warranty,
DUVETK0001,Bedroom,,,,,,,Bedding,Duvets 13.5 Tog,Unbranded,,,,,King,Polycotton/Polyester,White,Duvets 13.5 Tog - King,Suitable for all seasons | Polycotton covering with polyester hollowfibre filling |Machine washable,Alan,,,Stock,Cosy Home Furnishing,Essential, £8.52 ,75, £14.91 ,,Assembled,DUVETK0001,£17.81,1 Year Warranty,
DUVETK0002,Bedroom,,,,,,,Bedding,Duvets 13.5 Tog,Unbranded,,,,,Super King,Polycotton/Polyester,White,Duvets 13.5 Tog - Super King,Suitable for all seasons | Polycotton covering with polyester hollowfibre filling |Machine washable,Alan,,,Stock,Cosy Home Furnishing,Essential, £9.85 ,75, £17.24 ,,Assembled,DUVETK0002,£14.78,1 Year Warranty,
FITTED0007,Bedroom,,,,,,,Bedding,Sheets Fitted ,Arbry,,,,,Single,Polycotton,White,Polycotton Fitted Sheet - Single,"Easy care polycotton, manufactured using top quality yarns | Soft and durable | Machine washable",Alan,,,Stock,Avantex,Essential, £2.95 ,75, £5.16 ,,Assembled,FITTED0007,£3.26,1 Year Warranty,
FITTED0016,Bedroom,,,,,,,Bedding,Sheets Fitted ,Arbry,,,,,Double,Polycotton,White,Polycotton Fitted Sheet - Double,"Easy care polycotton, manufactured using top quality yarns | Soft and durable | Machine washable",Alan,,,Stock,Avantex,Essential, £4.25 ,75, £7.44 ,,Assembled,FITTED0016,£4.12,1 Year Warranty,
FITTED0039,Bedroom,,,,,,,Bedding,Sheets Fitted ,Arbry,,,,,King,Polycotton,White,Polycotton Fitted Sheet - King,"Easy care polycotton, manufactured using top quality yarns | Soft and durable | Machine washable",Alan,,,Stock,Avantex,Essential, £6.45 ,75, £11.29 ,,Assembled,FITTED0039,£9.81,1 Year Warranty,
FITTED0040,Bedroom,,,,,,,Bedding,Sheets Fitted ,Arbry,,,,,Super King,Polycotton,White,Polycotton Fitted Sheet - Super King,"Easy care polycotton, manufactured using top quality yarns | Soft and durable | Machine washable",Alan,,,Stock,Avantex,Essential, £8.65 ,75, £15.14 ,,Assembled,FITTED0040,£12.98,1 Year Warranty,
PILLOW0002,Bedroom,,,,,,,Bedding,Pillow,Unbranded,,,,,Standard,Cotton/Polyester,White,Pillow,Standard size pillow | Cotton covering with polyester hollowfibre filling | Machine washable,Alan,,,Stock,Cosy Home Furnishing,Essential, £2.25 ,75, £3.94 ,,Assembled,DFF0039SDID,£3.27,1 Year Warranty,
PILLOW0003,Bedroom,,,,,,,Bedding,Pillow Protector Standard Quilted,Arbry,,,,,Standard,Polycotton/Polyester,White,Quilted Pillow Protector,Polycotton pillow protector with 2oz quilted wadding inside | Machine washable,quilted polycotton matt prot + pillow prot (2),,,Stock,Avantex,Essential, £1.50 ,75, £2.63 ,,Assembled,PILLOW0003,£2.21,1 Year Warranty,
COATHA0001,Bedroom,,,,,,,Home Accessories,Coat Hanger,Unbranded,,,,,Standard,Various,Metal,Coat Hanger,Coat hanger ,Alan,,,Stock,Premier/online,Essential, £0.21 ,75, £0.37 ,,Assembled,COATHA0001,£0.32,1 Year Warranty,
PILLOW0014,Bedroom,,,,,,,Bedding,Pillow Case - FR,Arbry,,,,,Standard,Polycotton,White,Poly Cotton Standard Pillow Case,"Easy care polycotton, manufactured using top quality yarns | Soft and durable |  Flame retardant to BS7175 Source 7  | Machine washable",Alan,,,Stock,Avantex,Essential, £1.42 ,75, £2.49 ,,Assembled,PILLOW0014,£1.86,1 Year Warranty,
BASINC0001,Kitchen,,,,,,,Kitchen Essentials,Basins,Unbranded,,,,,Standard,Plastic,Neutral,Plastic Washing Up Basin,Small washing up basin | 7 litres,Alan,,,Stock,Whitefurze,Essential, £0.69 ,75, £1.21 ,,Assembled,DFF0082SDID,£0.93,1 Year Warranty,
BINBIN0001,Kitchen,,,,,,,Kitchen Essentials,Swing Bin,Unbranded,,,,,50 litre capacity approx.,Plastic,Neutral,Plastic Swing Top Bin,50 litre swing top bin | Easy to clean,Alan,,,Stock,Whitefurze,Essential, £4.65 ,75, £8.14 ,,Assembled,DFF0083SDID,£6.74,1 Year Warranty,
BRUSHP0001,Kitchen,Home accessories,,,,,,Kitchen Essentials,Brush & Pole,Unbranded,,,,,Standard,Wood Pole/Plastic Brush head,Brown,Brush & Pole (wooden handle),Long handled sweeping brush | Wooden pole,Alan,,,Stock,Arix Europe Ltd,Essential, £0.89 ,75, £1.56 ,,Assembled,DFF0084SDID,£1.19,1 Year Warranty,
CANOPN0001,Kitchen,,,,,,,Kitchen Essentials,Can Opener,Unbranded,,,,,Standard,Stainless steel ,Stainless steel ,Can Opener,Stainless steel can and bottle opener,Alan,,,Stock,Zodiac Stainless Products/Premier/Sher,Essential, £0.55 ,75, £0.96 ,,Assembled,DFF0118SDID,£0.84,1 Year Warranty,
CASSER0002,Kitchen,,,,,,,Kitchen Essentials,Casserole Set 3 dishes,Unbranded,,,,,Small/Medium/Large,Glass,Clear,Glass Casserole Set - 3 dishes,3 piece glass casserole set | Oven to table | Oven safe | Freezer safe | Microwave and Dishwasher safe,Alan,,,Stock,Zodiac Stainless Products/The Rayware Group,Essential, £6.95 ,75, £12.16 ,,Assembled,DFF0120SDID,£10.65,1 Year Warranty,
CLOTHE0001,Kitchen,Home accessories,,,,,,Kitchen Essentials,Clothes Horses,Unbranded,,,,,3 Fold / 6mt airing capacity,Metal plastic coated,White,Clothes Airer,3 fold clothes airer | Provides 6mts of drying space,Alan,,,Stock,Sabichi Homewares/A Mir & Co,Essential, £3.95 ,75, £6.91 ,,Assembled,DFF0087SDID,£4.89,1 Year Warranty,
CROCKE0001,Kitchen,,,,,,,Kitchen Essentials,CROCKERY/DINNER SET 16Pcs White,Unbranded,,,,,Standard,Porcelain,Neutral,16 Piece Dinner Set,"White porcelain dinner set | Consists of 4 dinner plates, 4 side plates, 4 bowls and 4 mugs | Dishwasher & Microwave safe",Alan,,,Stock,Sher Bros/The Rayware,Essential, £7.50 ,75, £13.13 ,,Assembled,DFF0088SDID,£9.31,1 Year Warranty,
CUTLER0001,Kitchen,,,,,,,Kitchen Essentials,Cutlery Set 16 piece,Unbranded,,,,,Standard,Stainless steel with Plastic handles,Various,16 Piece Cutlery Set,"Stainless steel with coloured plastic handles | Consists of 4 dinner knives, 4 forks, 4 spoons and 4 teaspoons",Alan,,,Stock,Zodiac Stainless Products,Essential, £3.00 ,75, £5.25 ,,Assembled,DFF0089SDID,£4.69,1 Year Warranty,
KNIFES0003,Kitchen,,,,,,,Kitchen Essentials,Knife Block,Unbranded,,,,,6 piece,Wood Block,Pine,Knife Block,"Consists of 9cm, 14cm, 15.5cm, 22.5cm and 23cm blade and 22cm scissors with wooden holder | Dishwasher safe",0907033,,,Stock,online,Essential, £3.33 ,75, £5.83 ,,Assembled,KNIFES0003,£5.00,1 Year Warranty,
FIREEX0001,Kitchen,,,,,,,Kitchen Essentials,Fire Extinguisher,Unbranded,,,,,1kg Powder,Metal casing,Red,Fire Extinguisher,"Multi purpose 1KG fire extinguisher |Certified to BS EB3 Rating 8A 34B C.  Effective against wood, paper, plastic, electrical and flammable liquid fires | Bracket included for mounting",Alan,,,Stock,Pik-a-Pak,Essential, £9.98 ,75, £17.47 ,,Assembled,DFF0096SDID,£13.39,1 Year Warranty,
FRYING0001,Kitchen,,,,,,,Kitchen Essentials,Frying Pan,Unbranded,,,,,24cm,Aluminium/non-stick coating,Black,Frying Pan,24cm non-stick frying pan | Suitable for electric and gas hobs | Dishwasher safe,Alan,,,Stock,Sher Bros/Premier,Essential, £2.50 ,75, £4.38 ,,Assembled,DFF0135SDID,£2.83,1 Year Warranty,
GLASSE0001,Kitchen,,,,,,,Kitchen Essentials,Hi-ball Glasses,Unbranded,,,,,Hi-ball,Glass,Neutral,Hi-ball Glasses,Hi-ball glass,Alan,,,Stock,Premier,Essential, £0.45 ,75, £0.79 ,,Assembled,GLASSE0001,£0.68,1 Year Warranty,
GLASSE0002,Kitchen,,,,,,,Kitchen Essentials,Wine Glasses,Unbranded,,,,,Wine,Glass,Neutral,Wine Glasses,Wine glass,Alan,,,Stock,Premier,Essential, £0.45 ,75, £0.79 ,,Assembled,GLASSE0002,£0.68,1 Year Warranty,
IRONBD0003,Kitchen,Home accessories,,,,,,Kitchen Essentials,Ironing Board,Unbranded,,,,,Standard,Metal,Various,Ironing Board,Jack ironing board | Ironing surface L98cm x W35cm | Includes colourfast cover and felt pad | Adjustable height 62-86cm,Alan,,,Stock,Sabichi Homewares/Sher Bros,Essential, £11.55 ,75, £20.21 ,,Assembled,DFF0103SDID,£9.25,1 Year Warranty,
MOPBUC0001,Kitchen,Home accessories,,,,,,Kitchen Essentials,Mop and Bucket,Unbranded,,,,,Standard,Plastic,Neutral,Mop and Bucket,Cloth mop with wooden handle and plastic bucket,Alan,,,Stock,Whitefurze,Essential, £1.84 ,75, £3.22 ,,Assembled,DFF0107SDID,£3.47,1 Year Warranty,
MOPCOM0001,Kitchen,Home accessories,Bedroom,,,,,Kitchen Essentials,Mop (handle & head),Unbranded,,,,,Standard,Wood pole/Cloth mop head,Wood,Mop (handle & head),Cloth mop with wooden handle,Alan,,,Stock,Arix Europe Ltd,Essential, £0.86 ,75, £1.51 ,,Assembled,MOPCOM0001,£1.78,1 Year Warranty,
STEPLA0001,Home accessories,,,,,,,Home Accessories,Step Ladder,Unbranded,,,,,3 step,Aluminium,Metal,Step Ladder,Lightweight aluminium construction | Folds for easy storage | Total platform height 58cm | Domestic use  only | Maximum load 95Kg,Alan,,,Stock,Premier/Argos,Essential, £14.00 ,75, £24.50 ,,Assembled,STEPLA0001,£41.34,1 Year Warranty,
MUGGSS0001,Kitchen,,,,,,,Kitchen Essentials,Mug,Unbranded,,,,,Standard,Porcelain,Neutral,Mug,Porcelain mug,Alan,,,Stock,Premier,Essential, £0.50 ,75, £0.88 ,,Assembled,DFF0109SDID,£0.58,1 Year Warranty,
POTSET0003,Kitchen,,,,,,,Kitchen Essentials,Pot Sets 3 piece stainless steal,Unbranded,,,,,3 piece,Stainless Steel,Stainless steel ,3 Piece Stainless Steel Saucepan Set,"Consists of 14cm, 16cm and 18cm saucepans | Glass lids with steam vents | Bakelite handles and knobs | Suitable for electric and gas hobs | Dishwasher safe",Alan,,,Stock,Sabichi Homewares,Essential, £6.59 ,75, £11.53 ,,Assembled,DFF0079SDID,£13.25,1 Year Warranty,
POTSET0004,Kitchen,,,,,,,Kitchen Essentials,Pot Sets 5 piece stainless steel,Unbranded,,,,,5 piece,Stainless Steel,Stainless steel ,5 Piece Stainless Steel Saucepan Set,"Consists of 14cm milk pan, 16cm, 18cm and 20cm saucepans and 24cm frying pan Glass lids with steam vents | Bakelite handles and knobs | Suitable for electric and gas hobs | Dishwasher safe",Alan,,,Stock,Sabichi Homewares,Essential, £16.52 ,75, £28.91 ,,Assembled,DFF0080SDID,£20.30,1 Year Warranty,
TOWELT0001,Kitchen,,,,,,,Kitchen Essentials,Tea Towel,Unbranded,,,,,3 pack,Cotton,Neutral,Cotton Tea Towel,Cotton tea towel,Alan,,,Stock,Sher Bros/ Arix Europe,Essential, £0.17 ,75, £0.30 ,,Assembled,DFF0117SDID,£0.80,1 Year Warranty,
UTENSI0001,Kitchen,,,,,,,Kitchen Essentials,Utensil Set,Unbranded,,,,,5 piece,Metal,Metal,5 Piece Utensil Set,"Stainless steel set | Consists of solid spoon, slotted spoon, ladle, masher and turner | Dishwasher safe",Alan,,,Stock,Zodiac Stainless Products,Essential, £2.00 ,75, £3.50 ,,Assembled,UTENSI0001,£3.00,1 Year Warranty,
KITCHE0001,Kitchen,,,,,,,Kitchen Essentials,Pack:  16pc Dinner Set; 16pcs Cutlery Set; 3pc S/S Pot Set; Frying Pan; Chopping Board; Can Opener; Utensil Set Metal; Knife Block; 4 Drinking Glasses; 3 Tea Towel.,Unbranded,,,,,Various,Mixed,Mixed,Essential Kitchen Pack,"Pack consists of:| 16pc Porcelain Dinner Set - 4 dinner plates, 4 side plates, 4 bowls and 4 mugs |16pcs Cutlery Set Stainless Steel with plastic handle - 4 dinner knives, 4 forks, 4 spoons and 4 teaspoons |3pc Stainless Steel Pot Set |Non Stick Frying Pan | Plastic Chopping Board | Can Opener | Metal Utensil Set | Knife Block | 4 Drinking Glasses | 3 Cotton Tea Towel",Alan,,,Stock,Various,Essential, £36.30 ,75, £63.53 ,,Assembled,KITCHE0001,£64.61,1 Year Warranty,
LAMPEL0001,Bedroom,Living Room,Nursery,,,,,Lighting,Bedroom Lamp,Unbranded,,,,,Small,Ceramic base,Neutral,Bedroom Lamp,Bedside Lamp | Ceramic Base | Fabric Shade | For adult and older child use | Conforms to EN 60598-1:2015 (or EN 60598-1:2008/A11:2009) & EN 60598-2-4:1997,Alan,,,Stock,Premier/Sher Bros,Essential, £5.45 ,75, £9.54 ,,Assembled,DFF0011SDID,£4.36,1 Year Warranty,
LAMPEL0002,Living Room,Bedroom,Nursery,,,,,Lighting,Living Room Lamp,Unbranded,,,,,Small,Ceramic base,Neutral,Living Room Lamp,Table Lamp | Ceramic Base | For lounge area | Shade to match lampshade | For adult and older child use | Conforms to EN 60598-1:2015 (or EN 60598-1:2008/A11:2009) & EN 60598-2-4:1997,Alan,,,Stock,Premier,Essential, £6.95 ,75, £12.16 ,,Assembled,DFF0153SDID,£8.11,1 Year Warranty,
SHADEL0001,Living Room,Bedroom,Kitchen,Home accessories,Nursery,Home accessories,Dining room,Lighting,Light Shade,Unbranded,,,,,Standard,Fabric covered shade,Neutral,Light Shade,Ceiling light lampshade | Material to match table lamp | Complies with EN 60598,Alan,,,Stock,LTC Distributors Ltd,Essential, £1.55 ,75, £2.71 ,,Assembled,DFF0150SDID,£2.08,1 Year Warranty,
CARPET0001,Living Room,Bedroom,Dining Room,,,,,Flooring,Carpets only,887 Vantage/Dalton,,,,,Up to 4metres wide,Polypropylene/Felt backed,Blue,Dalton,Total height 8mm | 100% Polypropylene |General domestic |Stain resistant |Cleanable with diluted bleach|,Dalton_887_PSH,,,Stock,B.I.G Floor Coverings,Essential, £1.95 ,75, £3.41 ,,Assembled,DFF0070DBSDID,£6.60,1 Year Warranty,
CARPET0002,Living Room,Bedroom,Dining Room,,,,,Flooring,Carpets only,964 Vantage/Dalton,,,,,Up to 4metres wide,Polypropylene/Felt backed,Chocolate,Dalton,Total height 8mm | 100% Polypropylene |General domestic |Stain resistant |Cleanable with diluted bleach|,Dalton_964_PSH,,,Stock,B.I.G Floor Coverings,Essential, £1.95 ,75, £3.41 ,,Assembled,DFF0070BRSDID,£6.60,1 Year Warranty,
CARPET0003,Living Room,Bedroom,Dining Room,,,,,Flooring,Carpets only,331 Vantage/Dalton,,,,,Up to 4metres wide,Polypropylene/Felt backed,Beige,Dalton,Total height 8mm | 100% Polypropylene |General domestic |Stain resistant |Cleanable with diluted bleach|,Dalton_331_PSH,,,Stock,B.I.G Floor Coverings,Essential, £1.95 ,75, £3.41 ,,Assembled,DFF0070BGSDID,£6.60,1 Year Warranty,
CARPET0004,Living Room,Bedroom,Dining Room,,,,,Flooring,Carpets only,455 Vantage/Dalton,,,,,Up to 4metres wide,Polypropylene/Felt backed,Wine,Dalton,Total height 8mm | 100% Polypropylene |General domestic |Stain resistant |Cleanable with diluted bleach|,Dalton_455_PSH,,,Stock,B.I.G Floor Coverings,Essential, £1.95 ,75, £3.41 ,,Assembled,DFF0070WISDID,£6.60,1 Year Warranty,
CARPET0005,Living Room,Bedroom,Dining Room,,,,,Flooring,Carpets only,152 Vantage/Dalton,,,,,Up to 4metres wide,Polypropylene/Felt backed,Silver,Dalton,Total height 8mm | 100% Polypropylene |General domestic |Stain resistant |Cleanable with diluted bleach|,Dalton_152_PSH,,,Stock,B.I.G Floor Coverings,Essential, £1.95 ,75, £3.41 ,,Assembled,DFF0070GRSDID,£6.60,1 Year Warranty,
CARPET0015,Living Room,Bedroom,Dining Room,,,,,Flooring,Carpets only,446 Country Heathers,,,,,Up to 4metres wide,Polypropylene/Hessian backed,Wine,Country Heather Supreme,Total height 8mm | 100% Polypropylene |General domestic |Stain resistant |Cleanable with diluted bleach|,Mystique_446_PSH.jpg,,,Stock,B.I.G Floor Coverings,Essential, £3.90 ,75, £6.83 ,,Assembled,DFF0070WISDID,£6.60,1 Year Warranty,
CARPET0016,Living Room,Bedroom,Dining Room,,,,,Flooring,Carpets only,330 Country Heathers,,,,,Up to 4metres wide,Polypropylene/Hessian backed,Mink,Country Heather Supreme,Total Height 9mm | 100% Polypropylene | General domestic | Stain resistant | Cleanable with diluted bleach|,Country_Heather_Supr_330_PSH,,,Stock,B.I.G Floor Coverings,Essential, £3.90 ,75, £6.83 ,,Assembled,DFF0076BGSDID,£8.40,1 Year Warranty,
CARPET0017,Living Room,Bedroom,Dining Room,,,,,Flooring,Carpets only,996 Country Heathers,,,,,Up to 4metres wide,Polypropylene/Hessian backed,Chocolate,Country Heather Supreme,Total Height 9mm | 100% Polypropylene | General domestic | Stain resistant | Cleanable with diluted bleach|,Country_Heather_Supr_996_PSH,,,Stock,B.I.G Floor Coverings,Essential, £3.90 ,75, £6.83 ,,Assembled,DFF0076BRSDID,£8.40,1 Year Warranty,
CARPET0018,Living Room,Bedroom,Dining Room,,,,,Flooring,Carpets only,158 Country Heathers,,,,,Up to 4metres wide,Polypropylene/Hessian backed,Dark Grey,Country Heather Supreme,Total Height 9mm | 100% Polypropylene | General domestic | Stain resistant | Cleanable with diluted bleach|,Country_Heather_Supr_158_PSH,,,Stock,B.I.G Floor Coverings,Essential, £3.90 ,75, £6.83 ,,Assembled,DFF0076GRSDID,£8.40,1 Year Warranty,
CARPET0019,Living Room,Bedroom,Dining Room,,,,,Flooring,Carpets only,879 Country Heathers,,,,,Up to 4metres wide,Polypropylene/Hessian backed,Blue,Country Heather Supreme,Total Height 9mm | 100% Polypropylene | General domestic | Stain resistant | Cleanable with diluted bleach|,Country_Heather_Supr_897_PSH,,,Stock,B.I.G Floor Coverings,Essential, £3.90 ,75, £6.83 ,,Assembled,DFF0076DBSDID,£8.40,1 Year Warranty,
CARPET0042,Living Room,Bedroom,Dining Room,,,,,Flooring,Carpets only,Marathon,,,,,Up to 4metres wide,Polypropylene/Gel backed,Blue,Marathon,"Gel backed 100% Polypropylene cut pile | Stain resistant, hard wearing | No underlay required | 4m wide | Approx. 5mm thick | Complies with BS 4790:1987 / BS 5287:1988 to Low Radius Classification | Fitting should be in accordance with BS 5325:2001 code of practice.",Marathon_882_PSH.jpg,,,Stock,B.I.G Floor Coverings,Essential, £6.82 ,75, £11.94 ,,Assembled,DFF0075SDID,£12.40,1 Year Warranty,
VINYLB0001,Living Room,Bedroom,Dining Room,Kitchen,,,,Flooring,Vinyl's only,Atlantic,,,,,Up to 3 metres wide,Vinyl,Black Slate,Atlantic Vinyl - Black Slate,"Vinyl | 3mt wide | 2mm Thick | Cushioned, R10 slip resistant | General domestic | Complies with EN 14041:2004",Kent 909E,Kent 909E_RSH,,Stock,B.I.G Floor Coverings,Essential, £2.99 ,75, £5.23 ,,Assembled,DFF0073BLSDID,£7.00,1 Year Warranty,
VINYLW0001,Living Room,Bedroom,Dining Room,Kitchen,,,,Flooring,Vinyl's only,Atlantic,,,,,Up to 3 metres wide,Vinyl,Wood Effect,Atlantic Vinyl - Wood Effect,"Vinyl | 3mt wide | 2mm Thick | Cushioned, R10 slip resistant | General domestic | Complies with EN 14041:2004",Chalet Oak 006M,,,Stock,B.I.G Floor Coverings,Essential, £2.99 ,75, £5.23 ,,Assembled,DFF0073WDSDID,£7.00,1 Year Warranty,
FIREBL0001,Kitchen,,,,,,,Kitchen Essentials,Fire Blanket,Infrapower,,,,,1mt square,Glass Fibre,Red,Fire Blanket,"Strong 100% glass fibre blanket | 1mt x 1mt cloth | Wall mountable case with quick release tabs | Tested and certified BS/EN 1869 | Recommended for use on pan fires, also suitable for clothing fires",Alan,,,Stock,D.A.D,Essential, £5.50 ,75, £9.63 ,,Assembled,DFF0095SDID,£7.85,1 Year Warranty,
COTBLA0001,Nursery,Bedroom,,,,,,Nursery Essential,Cot Cellular Blanket,Arbry,,,,,Standard,Poly/Cotton,Neutral,Cot Cellular Blanket,Cot blanket | 50% polyester / 50% cotton cellular blanket | 68 pick polycotton bedding,cellular blanket,,,Special,Avantex,Essential, £4.85 ,75, £8.49 ,10-15 days,Assembled,DFF0017SDID,£6.50,1 Year Warranty,
COTSHE0001,Nursery,Bedroom,,,,,,Nursery Essential,Cot fitted sheet FR,Arbry,,,,,Standard,Polyester,Neutral,Flame Retardant Fitted Cot Sheet,"Fire retardant cot fitted sheet | 100% flame retardant polyester | 76 ends of trevira, 60 picks of polyester | Conforms to BS7175:1989 ignition source 2",Alan,,,Special,Avantex,Essential, £3.55 ,75, £6.21 ,10-15 days,Assembled,DFF0020SDID,£4.77,1 Year Warranty,
