Product Code,Cat 1,Cat 2,Cat 3,Cat 4,Cat 5,Cat 6,Cat 7,Sub Cat,Item,Range/Brand,Size (all sizes are approximate),Fabric,Colour,Web product Name,descriptive and user tags (separated by |),image name 1 (same as sku),image name 2 (same as sku),image name 3 (same as sku),Availability,Supplier,Range,Cost Price (ex VAT,Mark up %, Selling Price (ex VAT) ,Delivery Timescale (Working days),Assembled/Flat Pack,Excel Sell Code,Excel Type 3 Sell Price,Warranty,
SOFAM0004,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Hoxton Manhattan,H85 W142 D90,Vinyl,Brown,Hoxton Sofa,"The Hoxton is a versatile sofa that would suit most interiors and decor | A compact sofa with low wide feet | Faux Leather fabric | Solid wood frame consisting of base rails, springs and other load bearing rails | Fire resistant foam (CMHR) | Stain resistant vinyl covering | 80% PVC 20% Cotton | Stitched seams | Rub test 80,000 | We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush | Removable foam filled seat cushions and removable rebound fibre filled back cushions | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 Strength, durability and safety of seating | Made in the UK",Manhattan-Leather-2-Seater-Brown,,,Stock,Bentincks ,Essential, £145.00 ,75, £253.75 ,,Assembled,DFF0136BRSDID,£201.80,1 Year Warranty,
SOFAM0005,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Hoxton Manhattan,H85 W142 D90,Vinyl,Cream,Hoxton Sofa,"The Hoxton is a versatile sofa that would suit most interiors and decor | A compact sofa with low wide feet | Faux Leather fabric | Solid wood frame consisting of base rails, springs and other load bearing rails | Fire resistant foam (CMHR) | Stain resistant vinyl covering | 80% PVC 20% Cotton | Stitched seams | Rub test 80,000 | We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush | Removable foam filled seat cushions and removable rebound fibre filled back cushions | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 Strength, durability and safety of seating | Made in the UK",#N/A,,,Special,Bentincks ,Essential, £145.00 ,75, £253.75 ,10-15 days,Assembled,DFF0136CRSDID,£201.80,1 Year Warranty,
SOFA2M0006,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Hoxton Manhattan,H85 W142 D90,Fabric,Aubergine,Hoxton Sofa,"Two seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",0,,,Special,Bentincks ,Essential, £145.00 ,75, £253.75 ,10-15 days,Assembled,SOFA2M0006,£201.80,1 Year Warranty,
SOFA2M0008,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Hoxton Manhattan,H85 W142 D90,Fabric,Teal,Hoxton Sofa,"Two seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",no stock - fabric swatch,,,Special,Bentincks ,Essential, £145.00 ,75, £253.75 ,10-15 days,Assembled,SOFA2M0008,£201.80,1 Year Warranty,
SOFA2M0009,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Hoxton Manhattan,H85 W142 D90,Fabric,Grey,Hoxton Sofa,"Two seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",0,,,Special,Bentincks ,Essential, £145.00 ,75, £253.75 ,10-15 days,Assembled,DFF0137GRSDID,£201.80,1 Year Warranty,
SOFA2Y0001,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Barcelona York,H93 W175 D98,Vinyl,Black,Barcelona Sofa,"Faux leather two seater sofa | Solid wood frame FSC Certified | 80% PVC 20% Cotton | Fire resistant foam (CMHR) | Stain resistant vinyl covering | Stitched seams | Foam filled fixed seat cushion and removable rebound fibre filled back cushion | We recommend to clean with a damp sponge and vacuum with a soft brush | Complies to EN 12520:2015 for strength, durability and safety of seating",cara_2seater1,cara_2seater2,,Special,Bentincks ,Essential, £100.00 ,75, £175.00 ,10-15 days,Assembled,DFF0300BLSDID,£189.20,1 Year Warranty,
SOFA2Y0002,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Barcelona York,H93 W175 D98,Vinyl,Brown,Barcelona Sofa,"Faux leather two seater sofa | Solid wood frame FSC Certified | 80% PVC 20% Cotton | Fire resistant foam (CMHR) | Stain resistant vinyl covering | Stitched seams | Foam filled fixed seat cushion and removable rebound fibre filled back cushion | We recommend to clean with a damp sponge and vacuum with a soft brush | Complies to EN 12520:2015 for strength, durability and safety of seating",cara_2seater1br,cara_2seater2br,,Special,Bentincks ,Essential, £100.00 ,75, £175.00 ,10-15 days,Assembled,DFF0300BRSDID,£189.20,1 Year Warranty,
SOFA3M0001,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Hoxton Manhattan,H85 W182 D90,Fabric,Beige,Hoxton Sofa,"Three seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",0,,,Special,Bentincks ,Essential, £162.00 ,75, £283.50 ,10-15 days,Assembled,DFF0139BGSDID,£224.58,1 Year Warranty,
SOFA3M0002,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Hoxton Manhattan,H85 W182 D90,Vinyl,Black,Hoxton Sofa,"The Hoxton is a versatile sofa that would suit most interiors and decor | A compact sofa with low wide feet | Faux Leather fabric | Solid wood frame consisting of base rails, springs and other load bearing rails | Fire resistant foam (CMHR) | Stain resistant vinyl covering | 80% PVC 20% Cotton | Stitched seams | Rub test 80,000 | We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush | Removable foam filled seat cushions and removable rebound fibre filled back cushions | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 Strength, durability and safety of seating | Made in the UK",Manhattan-Leather-3-Seater-Black,,,Stock,Bentincks ,Essential, £162.00 ,75, £283.50 ,,Assembled,DFF0138BLSDID,£224.58,1 Year Warranty,
SOFA3M0003,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Hoxton Manhattan,H85 W182 D90,Fabric,Brown,Hoxton Sofa,"Three seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",0,,,Special,Bentincks ,Essential, £162.00 ,75, £283.50 ,10-15 days,Assembled,DFF0139BRSDID,£224.58,1 Year Warranty,
SOFA3M0004,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Hoxton Manhattan,H85 W182 D90,Vinyl,Brown,Hoxton Sofa,"The Hoxton is a versatile sofa that would suit most interiors and decor | A compact sofa with low wide feet | Faux Leather fabric | Solid wood frame consisting of base rails, springs and other load bearing rails | Fire resistant foam (CMHR) | Stain resistant vinyl covering | 80% PVC 20% Cotton | Stitched seams | Rub test 80,000 | We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush | Removable foam filled seat cushions and removable rebound fibre filled back cushions | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 Strength, durability and safety of seating | Made in the UK",Manhattan-Leather-3-Seater-Brown,,,Stock,Bentincks ,Essential, £162.00 ,75, £283.50 ,,Assembled,DFF0138BRSDID,£224.58,1 Year Warranty,
SOFA3M0005,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Hoxton Manhattan,H85 W182 D90,Vinyl,Cream,Hoxton Sofa,"The Hoxton is a versatile sofa that would suit most interiors and decor | A compact sofa with low wide feet | Faux Leather fabric | Solid wood frame consisting of base rails, springs and other load bearing rails | Fire resistant foam (CMHR) | Stain resistant vinyl covering | 80% PVC 20% Cotton | Stitched seams | Rub test 80,000 | We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush | Removable foam filled seat cushions and removable rebound fibre filled back cushions | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 Strength, durability and safety of seating | Made in the UK",no stock - fabric swatch,,,Special,Bentincks ,Essential, £162.00 ,75, £283.50 ,10-15 days,Assembled,DFF0138CRSDID,£224.58,1 Year Warranty,
SOFA3M0006,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Hoxton Manhattan,H85 W182 D90,Fabric,Aubergine,Hoxton Sofa,"Three seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",no stock - fabric swatch,,,Special,Bentincks ,Essential, £162.00 ,75, £283.50 ,10-15 days,Assembled,SOFA3M0006,£224.58,1 Year Warranty,
SOFA3M0008,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Hoxton Manhattan,H85 W182 D90,Fabric,Teal,Hoxton Sofa,"Three seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",no stock - fabric swatch,,,Special,Bentincks ,Essential, £162.00 ,75, £283.50 ,10-15 days,Assembled,SOFA3M0008,£224.58,1 Year Warranty,
SOFA3M0009,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Hoxton Manhattan,H85 W182 D90,Fabric,Grey,Hoxton Sofa,"Three seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",0,,,Special,Bentincks ,Essential, £162.00 ,75, £283.50 ,10-15 days,Assembled,DFF0139GRSDID,£224.58,1 Year Warranty,
SOFA3Y0003,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Barcelona York,H93 W210 D98,Vinyl,Black,Barcelona Sofa,"Faux leather three seater sofa | Solid wood frame FSC Certified | 80% PVC 20% Cotton | Fire resistant foam (CMHR) | Stain resistant vinyl covering | Stitched seams | Foam filled fixed seat cushion and removable rebound fibre filled back cushion | We recommend to clean with a damp sponge and vacuum with a soft brush | Complies to EN 12520:2015 for strength, durability and safety of seating",cara_3seater,cara_3seater2,,Special,Bentincks ,Essential, £120.00 ,75, £210.00 ,10-15 days,Assembled,DFF301BLSDID,£217.80,1 Year Warranty,
SOFA3Y0004,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Barcelona York,H93 W210 D98,Vinyl,Brown,Barcelona Sofa,"Faux leather three seater sofa | Solid wood frame FSC Certified | 80% PVC 20% Cotton | Fire resistant foam (CMHR) | Stain resistant vinyl covering | Stitched seams | Foam filled fixed seat cushion and removable rebound fibre filled back cushion | We recommend to clean with a damp sponge and vacuum with a soft brush | Complies to EN 12520:2015 for strength, durability and safety of seating",cara_3seater1br,cara_3seater2br,,Special,Bentincks ,Essential, £120.00 ,75, £210.00 ,10-15 days,Assembled,DFF0301BRSDID,£217.80,1 Year Warranty,
COFFEE0001,Living Room,,,,,,,Living Room Furniture,Coffee Tables Prebuilt ,York,Medium,Wood,Natural Oak,York Coffee Table,"Rectangular coffee table | Wood effect with wooden legs | H470 W1200  D600 approx. | Profiled and polished edges, glued and screwed | Complies with EN 12521:2015 for strength, durability and safety of tables",York Coffee Table,,,Stock,Heartlands,Essential, £30.00 ,75, £52.50 ,,Assembled,DFF0145SDID,£35.00,1 Year Warranty,
TVUNIT0002,Living Room,,,,,,,Living Room Furniture,TV Units Prebuilt,Marseille,Medium,Wood,Maple,Marseille TV Unit,"Rectangular TV unit | Wood effect table top with metal legs |Profiled and polished edges, glued and screwed | Complies with EN 60065:2002+A12:2011 or EN 60065:2014",requested,,,Stock,Hughes/Argos,Essential, £25.00 ,75, £43.75 ,,Assembled,DFF0155SDID,£35.51,1 Year Warranty,
CHAIRD0001,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Chairs wooden/metal legs,Fiji,Standard,Wood/Metal,Beech/Chrome,Fiji Dining Chair,Contemporary dining chair | Round wood seat with chrome legs and plastic feet | Beach effect finish | Ready assembled ,Fiji Round Chairs Beech,,,Stock,Heartlands,Essential, £16.00 ,75, £28.00 ,,Assembled,DFF0147SDID,£21.44,1 Year Warranty,
CHAIRD0002,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Chairs Wooden,York,Standard,Wood,Natural Oak,York Wooden Dining Chair,Traditional style dining chair | Solid rubberwood in natural oak effect finish,York Chair,,,Stock,Heartlands,Essential, £12.50 ,75, £21.88 ,,Assembled,DFF0148SDID,£16.80,1 Year Warranty,
TABLED0001,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Tables Small,York,Small,Wood,Natural Oak,York Small Dining Table  - 2 person,"Traditional style, compact dining table for two | Solid rubberwood in natural oak effect finish",York Small,,,Stock,Heartlands,Essential, £35.00 ,75, £61.25 ,,Assembled,TABLED0001,£55.78,1 Year Warranty,
TABLED0002,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Tables Medium,York,Medium,Wood,Natural Oak,York Medium Dining Table - 4 person,Traditional style dining table for four | Solid rubberwood in natural oak effect finish ,York 1+4,,,Stock,Heartlands,Essential, £40.00 ,75, £70.00 ,,Assembled,DFF0151SDID,£56.00,1 Year Warranty,
TABLED0003,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Tables Large,York,Large,Wood,Natural Oak,York Large Dining Table - 6 person,Traditional style dining table for six | Solid rubberwood in natural oak effect finish ,York Large,,,Stock,Heartlands,Essential, £82.50 ,75, £144.38 ,,Assembled,TABLED0003,£122.07,1 Year Warranty,
TABLED0004,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Tables Round/metal legs Medium,Fiji,Medium,Wood/Metal,Beech/Chrome,Fiji Round Dining Table - 4 person,Contemporary round dining table | Wood table with chrome legs and plastic feet | Table diameter 900mm | Beach effect finish | Ready assembled ,Fiji Round 1+4 Beech,,,Stock,Heartlands,Essential, £52.50 ,75, £91.88 ,,Assembled,DFF0143SDID,£53.60,1 Year Warranty,
BEDSID0006,Bedroom,,,,,,,Bedroom Furniture,Bedside Table 1 drawer,Marseille,H590 W450 D460,Wood,Maple,Marseille Bedside 1 Drawer,"Fully assembled bedside table | Single drawer unit | Made of MFC and MDF | Joints are glued, doweled and corner braced | Metal drawer sides with solid base and back panel | Metal bow handle | Made in the UK",requested,,,Stock,Hughes/Bentincks,Essential, £30.00 ,75, £52.50 ,,Assembled,DFF0010SDID,£34.17,1 Year Warranty,
